;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;https://github.com/spring-projects/spring-boot/commit/24e873cd7c2608e642fd6e90460bc98079ba4e27;Contradicts;0.5753185749053955
1;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.5969939231872559
2;Fix typo `<iden>` -> `<iden>`;See  <pr_link>;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;https://github.com/spring-projects/spring-boot/commit/2b616fb7d94c8ec08ff8d750126d6470649fae72;Contradicts;0.5673611760139465
3;Ensure checking customizer ordering;See <pr_link>;https://github.com/spring-projects/spring-boot/commit/b34e752db6d8bad7d040d19be545e3cfc57f3dcd;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;https://github.com/spring-projects/spring-boot/commit/24e873cd7c2608e642fd6e90460bc98079ba4e27;Contradicts;0.5147572159767151
4;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;https://github.com/spring-projects/spring-boot/commit/24e873cd7c2608e642fd6e90460bc98079ba4e27;Contradicts;0.6602541208267212
5;Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/4ec95b8308cd301d74e160a7c1a6109c6ee9b64c;Contradicts;0.8108505606651306
6;The nested class should be public.;The nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment.;https://github.com/spring-projects/spring-boot/commit/2516dc033f909281702dfd2f99e8d0f05d59af8b;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.5494078993797302
7;The nested class should be public.;The nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment.;https://github.com/spring-projects/spring-boot/commit/2516dc033f909281702dfd2f99e8d0f05d59af8b;Make fields private;where possible;https://github.com/spring-projects/spring-boot/commit/43e54d38f7b2b7d8c4bc6fff6fab431a80a6e952;Contradicts;0.93631249666214
8;Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;https://github.com/spring-projects/spring-boot/commit/e233ea7f546fcbc5fccf972bc70c26373103444c;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.7847237586975098
9;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Remove the spring-core dependency from the annotation processor;"cherry-picked from otherCommit_link; Fixes issue_link";https://github.com/spring-projects/spring-boot/commit/6bc37c05898be797da4312e66c899491b4bb1965;Contradicts;0.5003646612167358
10;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Fix build failure;Fix;https://github.com/spring-projects/spring-boot/commit/c5d44cdae4c9f011cc88904458ff5f7dde0d7b53;Contradicts;0.5130422711372375
11;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;https://github.com/spring-projects/spring-boot/commit/4ec95b8308cd301d74e160a7c1a6109c6ee9b64c;Contradicts;0.5496074557304382
12;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Remove unfixable <iden> ;unfixable;https://github.com/spring-projects/spring-boot/commit/c84462b3d83623b2878f42ab0e781ef47451af24;Contradicts;0.825188159942627
13;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Fix tests;Fix;https://github.com/spring-projects/spring-boot/commit/02a1c435874fa8ed72db227b3bd911d079fc7cee;Contradicts;0.5875210762023926
14;Fix typos in the documentation: though -> through;Closes <pr_link>;https://github.com/spring-projects/spring-boot/commit/3b07e4e633ebcbdb0836ed7ad0b21fc8f0b42a9e;Fix test;Fix;https://github.com/spring-projects/spring-boot/commit/9bb6e0f497d8760e31607fb0c199c3bb5679a3b4;Contradicts;0.5369048118591309
15;Use try-with-resources in <file_name>;improved resource management and error handling;https://github.com/spring-projects/spring-boot/commit/abcff3a3b382f227f257b750415975c6694d4cb2;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;https://github.com/spring-projects/spring-boot/commit/911b12f28d1a6584eb9a0f849f6e953fad840b86;Contradicts;0.6023547649383545
