Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.;Contradicts;0.5183559060096741
Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.7254586815834045
<file_name> should be treated as immutable once shared;given that requirement, its safe for many threads to call the open() method concurrently to open their own connections;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.5102536082267761
fix small types in the changelog;small types;Make error-prone validate missing override annotations;error-prone, missing override annotations;Contradicts;0.5126569271087646
fix small types in the changelog;small types;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.7372377514839172
Update README.md  ;<iden> moved to Github;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.;Contradicts;0.5895712971687317
Update README.md  ;<iden> moved to Github;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.7257445454597473
Support querying & setting transport lists on connections  ;The list is specified via a magic request property <iden> and can be queried via the request property <iden> ;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.7927927374839783
Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;Make error-prone validate missing override annotations;error-prone, missing override annotations;Contradicts;0.5419845581054688
Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.;Contradicts;0.6095619797706604
Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.72700434923172
Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;Push OkHttp 3.1<version> into the sea;It is no longer supported;Contradicts;0.6684098243713379
snapshot() method removing entries that are being cached  ;because cleanFiles dont exist yet;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.7054346203804016
Fix mockwebserver jar download 404;404;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.5775999426841736
update proguard rules on README.md ( <pr_link> );-;Introduce <method_name> responseFailed events;These replace <iden>() / <iden>() in some failure scenarios. They may also be issued in cases where no event was published previously.;Contradicts;0.5839478373527527
update proguard rules on README.md ( <pr_link> );-;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.8365535140037537
update proguard rules on README.md ( <pr_link> );-;Collapse interceptors into a single chain;Instead of having a chain of application interceptors and a separate chain of network interceptors, this makes a single heterogeneous chain. It makes the <iden> core and network caller into interceptors.;Contradicts;0.5008156895637512
update proguard rules on README.md ( <pr_link> );-;We dont need no stinkin braces;no stinkin braces;Contradicts;0.6685842871665955
Remove obsolete <iden>;obsolete;Use <iden> in <file_name>  ;The utility here is negligible. Were sharing threads between HTTP, HTTP/2 and web sockets now.;Contradicts;0.5393699407577515
Remove obsolete <iden>;obsolete;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.5833984613418579
Update factories to be idiomatic;be idiomatic;Make error-prone validate missing override annotations;error-prone, missing override annotations;Contradicts;0.5657753944396973
Update factories to be idiomatic;be idiomatic;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.5372422337532043
Beef up <file_name>s toString;Previously it unconditionally showed tags even if empty and would not show headers;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.5422384142875671
Make error-prone validate missing override annotations;error-prone, missing override annotations;Use  <file_name> s built-in <iden> style  <enter>  ;The boilerplate to set this up is unfortunate;Contradicts;0.538575291633606
Make error-prone validate missing override annotations;error-prone, missing override annotations;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.5941271185874939
Make error-prone validate missing override annotations;error-prone, missing override annotations;Remove unnecessary use of grouping parentheses  ;Lets remove warnings found by errorprone.;Contradicts;0.5628348588943481
fix README.md typo;README.md typo;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.7075503468513489
Fix single failing graal test ( <pr_link> );single failing;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.8120822906494141
Fix single failing graal test ( <pr_link> );single failing;Push OkHttp 3.1<version> into the sea;It is no longer supported;Contradicts;0.5633173584938049
Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;Use IOException instead of <iden>;more specific in <file_name> API;Contradicts;0.9572819471359253
Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;Inject a leading . for better matching under <file_name> <enter> Closes : <issue_link>;for better matching;Contradicts;0.5927040576934814
Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;The implementation is built around one oversized method that runs top to bottom;I found this was easier to follow than the switch statement recommended by the <iden> standard;Contradicts;0.6771863102912903
Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;Dont attempt <iden> modes we know will fail.;we know will fail;Contradicts;0.6765962839126587
Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;Dont use <iden> APIs not in Gingerbread;APIs not in Gingerbread;Contradicts;0.970535397529602
Centralise logging behind JUL (<pr_link>) <enter> Use JUL, but wire up to the <method_name> <enter> Use `adb shell setprop log.tag.okhttp.Http2 <iden>` to enable logging for known levels;to enable logging for known levels;We dont need no stinkin braces;no stinkin braces;Contradicts;0.6828282475471497
