repo_id;label;url;new_message1;Decision;Rationale;predicted_decision;predicted_rationale
4;0;https://github.com/square/okhttp/commit/2fd0da8bc4a9c9d61b93af83b87383eacba850a3;Update concurrency.md ( <pr_link> ) ;1;1;1;1
2;0;https://github.com/apache/dubbo/commit/9e9e778e04aa95501e4ab9b49e8f927527e7e260;Optimize_hessian_desr_performance ( <pr_link> ) ;1;1;1;0
3;0;https://github.com/square/retrofit/commit/07548db79012d3ccacc5d883f3e71d24d0de359a;Add <iden> annotation. ;1;1;1;1
4;3;https://github.com/square/okhttp/commit/c310d27440bd58c23a8cb7795fe1e9514488c962;workaround broken system  <file_name>  behaviour ;1;0;1;1
2;0;https://github.com/apache/dubbo/commit/7f262f960b830db3b80d35451f259430ae56b1c8;simplify map empty judgment ( <pr_link> ) ;1;1;1;1
2;2;https://github.com/apache/dubbo/commit/ed7be11af9a8a9dddb4d23eea089f3890391575b;constant names should be all uppercase, separated by underscores ( <pr_link> ) ;0;1;1;0
2;0;https://github.com/apache/dubbo/commit/912303d9c4aaf04866868e5e48ee247820f088ba;collect async export services ( <pr_link> ) ;1;1;1;0
3;0;https://github.com/square/retrofit/commit/2cd4a03b8b50fff29188f0c1ad726a49a2ed0faa;Update to OkHttp <version>. ;1;1;0;1
2;2;https://github.com/apache/dubbo/commit/dfa84998968f7f9bfc25b935b531fcf8c67fe854;fix  <method_name>  bug ( <pr_link> ) ;0;1;1;1
5;0;https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759;Fix typo `<iden>` -> `<iden>`  <enter> See  <pr_link> ;1;1;1;1
3;0;https://github.com/square/retrofit/commit/238a9e59e69d61479a4505dba5f5659a599c699f;Doc error. `<iden>` with `encoded=true` will stop default url encoding. So, calling with `foo.list(ImmutableMap.of('foo', 'foo+bar'))` yields '/search?foo=foo+bar' instead of '/search?foo=foo%2Bbar'. ;1;1;1;0
2;0;https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5;replace  <file_name>  log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify  <file_name>  code segment ;1;1;1;1
3;0;https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce;Add missing <iden> wrappers as return type ;1;1;1;1
3;0;https://github.com/square/retrofit/commit/2d2fa49fc094d8e5c04b06a54b1c09db430ca3b0;Remove synchronous from <iden> docs ;1;1;1;0
4;2;https://github.com/square/okhttp/commit/e3cd9b9f1c9787c36d5ea82190bf1e2365377e66;Fixes <issue_link> - <iden> based <iden> setup. ;0;1;0;1
1;2;https://github.com/junit-team/junit4/commit/a688f6cecfe303b02087747226e5c376aebb0c44;"Issue <issue_link> ; when arrays differ in length, say so, but go ahead and find the first difference as usual to ease diagnosis ";0;1;1;0
2;2;https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91;Fix concurrency problems in  <file_name>  and  <file_name>  ( <pr_link> ) ;0;1;1;1
3;2;https://github.com/square/retrofit/commit/a63faf44e1b103a49d25a15c720fc5940ae9fc07;Fixed copy-paste errors. ;0;1;1;1
3;0;https://github.com/square/retrofit/commit/52be441605e6fc469ec718b2da954ad553491746;Fix foo/bar/baz in @query documentation ;1;1;1;1
