;Decision1;Rationale1;URL1;Decision2;Rationale2;URL2;Relationship;Alpha
0;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;<file_name> should be treated as immutable once shared;given that requirement, its safe for many threads to call the open() method concurrently to open their own connections;https://github.com/square/okhttp/commit/6b17f9edf338173c6491cc30feeb6e4ff539be9d;Similar;0.7069700956344604
1;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;fix small types in the changelog;small types;https://github.com/square/okhttp/commit/c8c790a6c8862778cbf8f140b19944732316f0e7;Similar;0.6002176403999329
2;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Update README.md  ;<iden> moved to Github;https://github.com/square/okhttp/commit/6a79c3223c5ff2d556bbab8eb9909fffc4ca4387;Similar;0.6759796738624573
3;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Support querying & setting transport lists on connections  ;The list is specified via a magic request property <iden> and can be queried via the request property <iden> ;https://github.com/square/okhttp/commit/4910039a572abc6d20cac48eb2c5e92591520537;Similar;0.6884249448776245
4;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Fix nullability (override default parameter nullability set at package-info);response receives null explicitly from several catch clauses;https://github.com/square/okhttp/commit/d4a9cf4772ae9d8991e58d934dea433798c9b8eb;Similar;0.648935854434967
5;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;snapshot() method removing entries that are being cached  ;because cleanFiles dont exist yet;https://github.com/square/okhttp/commit/c6c7ce7dadf2ccaa04122f57a278a4a96d1f5c50;Similar;0.5392705202102661
6;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Fix mockwebserver jar download 404;404;https://github.com/square/okhttp/commit/35b031fb63534b9664e622ca4ecf5b19536f63a8;Similar;0.6722398996353149
7;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;update proguard rules on README.md ( <pr_link> );-;https://github.com/square/okhttp/commit/1801d0cb2c7132a97c3e9c011a8546f883dfcf12;Similar;0.6626266241073608
8;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Remove obsolete <iden>;obsolete;https://github.com/square/okhttp/commit/5569a0d20f4669ddde8227d8777de54ddf373181;Similar;0.5242477655410767
9;Convert <file_name> to Kotlin ( <pr_link> );Idiomatic Kotlin;https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a;Update factories to be idiomatic;be idiomatic;https://github.com/square/okhttp/commit/0827fc62da61fce5cf7bedb088575fe41573b39d;Similar;0.544564962387085
