Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.5753185749053955
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.5969939231872559
Fix typo `<iden>` -> `<iden>`;See  <pr_link>;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.5673611760139465
Ensure checking customizer ordering;See <pr_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.5147572159767151
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.6602541208267212
Fix conditions that lead to auto-configure <iden> <enter>;See <pr_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.8108505606651306
The nested class should be public.;The nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment.;Remove unfixable <iden> ;unfixable;Contradicts;0.5494078993797302
The nested class should be public.;The nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment.;Make fields private;where possible;Contradicts;0.9363124966621399
Fix undertow access_log file name;Undertow <version> changed the default access log file suffix from .log to just log. Thus we need to adapt the file name pattern to include the missing dot.;Remove unfixable <iden> ;unfixable;Contradicts;0.7847237586975098
Fix typos in the documentation: though -> through;Closes <pr_link>;Remove the spring-core dependency from the annotation processor;"cherry-picked from otherCommit_link; Fixes issue_link";Contradicts;0.5003646612167358
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix build failure;Fix;Contradicts;0.5130422711372375
Fix typos in the documentation: though -> through;Closes <pr_link>;Ensure that <file_name> destroys underlying controller;Closes <issue_link>;Contradicts;0.5496074557304382
Fix typos in the documentation: though -> through;Closes <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.825188159942627
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix tests;Fix;Contradicts;0.5875210762023926
Fix typos in the documentation: though -> through;Closes <pr_link>;Fix test;Fix;Contradicts;0.5369048118591309
Use try-with-resources in <file_name>;improved resource management and error handling;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.6023547649383545
Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect Hello <iden>! rather than Hello <iden>. <br> Closes <pr_link>;Move the ` <file_name> ` file from  <file_name> ` into ` <file_name>;since the IDE plugin supports both.;Contradicts;0.5935655832290649
Fix description of test file to be tests.groovy;Corrected the documentation to refer to file as tests.groovy, rather than test.groovy. Updated cope snippet as tests.groovy should expect Hello <iden>! rather than Hello <iden>. <br> Closes <pr_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.9209855198860168
Support escaped characters in <file_name>  ;This commit adds the ability to have escaped characters, like the quote, when using the <method_name>. Also adds a short test for escaped quotes.;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5447686910629272
