Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;Contradicts;0.5040726065635681
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Save <file_name> allocation;Performance tuning;Contradicts;0.5626276731491089
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Introduce  <file_name>  to distinguish from <iden>;distinguish from <iden>;Contradicts;0.6888749599456787
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.7631999254226685
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;dont set port attribute; <file_name>  is null;Contradicts;0.5641369223594666
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;use revision in  <file_name>  ( <pr_link> );Revision use;Contradicts;0.5117369890213013
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.628835141658783
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Contradicts;0.5636022686958313
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Contradicts;0.7404307126998901
replace <file_name> log.isInfoEnabled->log.isWarnEnabled ( <pr_link> ) <enter> simplify <file_name> code segment;-;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5921270251274109
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Contradicts;0.500141978263855
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.6512745022773743
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.5077376961708069
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Contradicts;0.6994048357009888
Fix concurrency problems in <file_name> and <file_name> (<pr_link>);Concurrency problems;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.5692172050476074
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;Contradicts;0.8084060549736023
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.7689834833145142
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;dont set port attribute; <file_name>  is null;Contradicts;0.5588220953941345
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.608629584312439
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Correct <file_name> version  ;Correct;Contradicts;0.5147377848625183
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Contradicts;0.5622124671936035
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Modify <file_name> <enter> <url>;to indicate the revision of the <file_name> and inclusion of <url>;Contradicts;0.5196601152420044
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.8991764783859253
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.5820300579071045
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Merge pull request  ;fix QoS port can only be configured by identity property problem;Contradicts;0.5210570096969604
Fix <issue_link> Java <iden> use _ split language, country, variant. ( <pr_link> );use _ split language, country, variant;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.7016911506652832
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;fix test case DUBBO-135  ;test case glitch fix;Contradicts;0.5056796073913574
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.6577451229095459
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;Fix issue#5411 (<pr_link>);Fix;Contradicts;0.5552086234092712
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.6397112011909485
Fix Dubbo-3990 <issue_link> ( <pr_link> );Fix;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6113067865371704
Change to catch throwable, handle NoClassDefFoundError  ;Fix export provider error;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5183560848236084
Change to catch throwable, handle NoClassDefFoundError  ;Fix export provider error;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.6329020261764526
Change to catch throwable, handle NoClassDefFoundError  ;Fix export provider error;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.6417329907417297
Change to catch throwable, handle NoClassDefFoundError  ;Fix export provider error;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6890775561332703
The token value called by consumer will be printed out in the exception information  ;In order to facilitate the consumer to better locate the failure of provider token check;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5603100657463074
The token value called by consumer will be printed out in the exception information  ;In order to facilitate the consumer to better locate the failure of provider token check;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.6861371397972107
The token value called by consumer will be printed out in the exception information  ;In order to facilitate the consumer to better locate the failure of provider token check;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.650942325592041
The token value called by consumer will be printed out in the exception information  ;In order to facilitate the consumer to better locate the failure of provider token check;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.6257707476615906
add <iden> for dynamically created class;dynamically created;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.5937725901603699
add <iden> for dynamically created class;dynamically created;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Contradicts;0.6679627895355225
add <iden> for dynamically created class;dynamically created;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.8413644433021545
add <iden> for dynamically created class;dynamically created;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.7549942135810852
add <iden> for dynamically created class;dynamically created;rename package name from <iden> to impl;-;Contradicts;0.964984655380249
fix test case DUBBO-135  ;test case glitch fix;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.7615297436714172
fix test case DUBBO-135  ;test case glitch fix;Fix stub proxy does not work cause of ProxyFactory.getProxy change ( <pr_link>  <enter> <pr_link> ) <enter>  fix <issue_link>;ProxyFactory.getProxy change;Contradicts;0.6155044436454773
fix test case DUBBO-135  ;test case glitch fix;fix qos configuration cannot work after added qos-enable style support ( <pr_link> ) <enter>  fixes <issue_link>;qos configuration cannot work after added qos-enable style support;Contradicts;0.5846908688545227
fix test case DUBBO-135  ;test case glitch fix;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.6692759990692139
fix test case DUBBO-135  ;test case glitch fix;"
keep demo simple, and switch to use zookeeper as registry center ( <pr_link> )
keep demo simple, and switch to use zookeeper as registry center
remove comment
";"
None";Contradicts;0.7295998930931091
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Fix NPE in <file_name>  ;Fix;Contradicts;0.5248178243637085
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.9614311456680298
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;dont set port attribute; <file_name>  is null;Contradicts;0.7282512187957764
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Fix <issue_link> ( <pr_link> );fix;Contradicts;0.6019917130470276
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;fix publish null value when use consul config center  ;fix publish null value;Contradicts;0.5559963583946228
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;<file_name> ( <pr_link> ) <enter> fixes <issue_link>, <issue_link>, <issue_link>;Fixing <issue_link> multiple times;Contradicts;0.6781466007232666
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;remove tomcat-embed-logging-juli ( <pr_link> );fixes <issue_link>;Contradicts;0.6428055763244629
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Refactor: remove;and replace it with <method_name> ( <pr_link> );Contradicts;0.9146355390548706
"Fix <iden> and retries in <file_name> ( <pr_link> )
";Fix and retries;Close all servers/ports after tests finish  ;Ensure proper cleanup;Contradicts;0.7390826344490051
reduce the level of request data in timeout log ( <pr_link> ) <enter>  ;to control the size of log;Ignore unit test <file_name> (no zk server);no zk server;Contradicts;0.5898419618606567
